analysis_timestamp,app_version,environment,data_source,start_times,min_overlap_duration,conflict_length_m,seg_id,segment_label,flow_type,event_a,event_b,from_km_a,to_km_a,from_km_b,to_km_b,convergence_point_km,convergence_point_fraction,has_convergence,convergence_zone_start,convergence_zone_end,spatial_zone_exists,total_a,total_b,participants_involved,overtaking_a,overtaking_b,pct_a,pct_b,copresence_a,copresence_b,unique_encounters,temporal_overlap_exists,true_pass_exists,has_convergence_policy,no_pass_reason_code,conflict_length_m,width_m,sample_a,sample_b
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,A1,Start to Queen/Regent,overtake,Full,Half,0.0,0.9,0.0,0.9,,,False,,,False,368,912,0,0,0,0.0,0.0,,,0,False,False,False,,100.0,5.0,,
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,A1,Start to Queen/Regent,overtake,Full,10K,0.0,0.9,0.0,0.9,,,False,,,False,368,618,0,0,0,0.0,0.0,,,0,False,False,False,,100.0,5.0,,
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,A1,Start to Queen/Regent,overtake,Half,10K,0.0,0.9,0.0,0.9,,,False,0.0,0.06,True,912,618,0,0,0,0.0,0.0,0,0,0,False,False,False,SPATIAL_ONLY_NO_TEMPORAL,100.0,5.0,,
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,A2,Queen/Regent to WSB mid-point,overtake,Full,Half,0.9,1.8,0.9,1.8,,,False,,,False,368,912,0,0,0,0.0,0.0,,,0,False,False,False,,100.0,5.0,,
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,A2,Queen/Regent to WSB mid-point,overtake,Full,10K,0.9,1.8,0.9,1.8,,,False,,,False,368,618,0,0,0,0.0,0.0,,,0,False,False,False,,100.0,5.0,,
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,A2,Queen/Regent to WSB mid-point,overtake,Half,10K,0.9,1.8,0.9,1.8,1.33,0.48,True,0.42,0.53,True,912,618,35,34,1,3.7,0.2,34,1,126,True,True,True,,100.0,5.0,"1620, 1623, 1626, ... (10 total)",1529
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,A3,WSB mid-point to Friel,overtake,Full,Half,1.8,2.7,1.8,2.7,,,False,,,False,368,912,0,0,0,0.0,0.0,,,0,False,False,False,,100.0,5.0,,
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,A3,WSB mid-point to Friel,overtake,Full,10K,1.8,2.7,1.8,2.7,,,False,,,False,368,618,0,0,0,0.0,0.0,,,0,False,False,False,,100.0,5.0,,
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,A3,WSB mid-point to Friel,overtake,Half,10K,1.8,2.7,1.8,2.7,1.8,0.0,True,0.0,0.06,True,912,618,141,128,13,14.0,2.1,128,13,1664,True,True,True,,100.0,5.0,"1622, 1626, 1644, ... (10 total)","1529, 1606, 1607, ... (10 total)"
2025-09-11 11:31:52,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0,B1,Friel to 10K Turn,overtake,Full,10K,2.7,4.25,2.7,4.25,3.54,0.54,True,0.49,0.59,True,368,618,27,11,16,3.0,2.6,11,16,98,True,True,True,,150.0,1.5,"2884, 2888, 2889, ... (10 total)","1001, 1004, 1005, ... (10 total)"
